frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
2	<div class=innertext lang=hu-HU>	79.0	3.0	75.5	https://szekelyhon.ro/aktualis/elmenyek-a-templom-tornyaban https://szekelyhon.ro/aktualis/figyeljunk-a-szemelyi-igazolvany-ervenyessegere	doboz	default	
4	<div class=innertext style=@STYLE>	74.75	7.0	68.5	https://szekelyhon.ro/aktualis/csiksomlyon-lesz-a-xvi-karpat-medencei-halo-tabor https://szekelyhon.ro/aktualis/meg-ket-hetig-latogathato-a-szekelyudvarhelyi-lego-kiallitas https://szekelyhon.ro/aktualis/agrarmernokkepzes-tandijmentesen-magyarul-x https://szekelyhon.ro/aktualis/mar-kaphatok-jegyek-a-filmszereda-n-szekelyfoldi-mozgokep-fesztivalra	doboz	default	
4030	<div class=innertext>	85.35657568238213	3.010421836228288	83.23573200992556	https://szekelyhon.ro/aktualis/muemlekvedelmi-engedellyel-lehet-csak-levenni-a-varoshaza-feliratot https://szekelyhon.ro/aktualis/hirek-a-soundcam-studiobol https://szekelyhon.ro/aktualis/online-ugyintezesre-osztonzik-hargita-megye-lakossagat https://szekelyhon.ro/aktualis/segitsegnyujtas-a-fekvobetegeknek-akik-beoltatnak-magukat https://szekelyhon.ro/aktualis/regisztracioban-segitenek-szavazasra-buzditanak	doboz	default	
4000	<div class=intil>	8.00125	0.0	8.00125	https://szekelyhon.ro/aktualis/huszonharommal-nott-a-fertozottek-szama-maros-megyeben https://szekelyhon.ro/aktualis/ismet-nott-a-napi-esetszam-hargita-megyeben https://szekelyhon.ro/aktualis/igy-nez-ki-a-helyi-szintu-donteshozatali-folyamat-az-esetleges-szigoritasokrol https://szekelyhon.ro/aktualis/vizsgaljak-a-kamerak-felveteleit-hogy-kideritsek-ki-rongalt-az-udvarhelyi-jatszoteren https://szekelyhon.ro/vilag/1500-buncselekmeny-15-ezer-birsag-orszagszerte	default	default	ajánló részei
1	<div class=itemsContainer ytvideo style=@STYLE>	18.0	1.0	17.0	https://szekelyhon.ro/aktualis/nem-hivatalos-reszeredmeny-harom-korzetben-korodi-gyozott	beagyazott_tartalom	default	
399	<div class=itemsContainer ytvideo>	0.08270676691729323	0.9949874686716792	0.08270676691729323	https://szekelyhon.ro/vilag/raed-arafat-korantsem-mult-el-a-veszely https://szekelyhon.ro/aktualis/nem-pusztult-el-az-ut-szelen-szenved-az-elgazolt-medve https://szekelyhon.ro/aktualis/a-papak-is-emberek https://szekelyhon.ro/aktualis/uj-videoval-jelentkezett-a-bagossy-brothers-company https://szekelyhon.ro/aktualis/szeldontes-utani-allapotok-a-gyilkosto-kornyeken	beagyazott_tartalom	default	
48633	<div class=itemsContainer>	2.527337404642938	5.863960685131495	0.0	https://szekelyhon.ro/vilag/az-oltaskampany-kezdetetol-47-szemelynel-jegyeztek-kisebb-allergias-reakciot-romaniaban https://szekelyhon.ro/aktualis/bmeghekkeltekr-a-jatekgepet https://szekelyhon.ro/vilag/szokasos-hetvegi-visszaeses-ezerotszaz-uj-fertozottet-regisztraltak https://szekelyhon.ro/aktualis/az-uj-napkozi-es-megifjodott-oreg-iskola-unnepe-loveten https://szekelyhon.ro/aktualis/igy-alakulhat-a-jovoben-udvarhely-oktatasi-rendszere	media_tartalom	default	
7	<div class=new_newblock style=@STYLE>	36.857142857142854	0.0	36.857142857142854	https://szekelyhon.ro/aktualis/aszfalt-es-hid-darabokat-sodor-magaval-az-ar-gyimeskozeplokon https://szekelyhon.ro/vilag/legi-bemutaton-csapodott-a-foldnek-egy-vadaszgep https://szekelyhon.ro/aktualis/igy-langolt-az-auto-az-udvarhelyi-parkoloban https://szekelyhon.ro/aktualis/langokban-a-somlyo-utcai-cigany-telep	default	default	
414	<div class=new_newblock>	80.07246376811594	1.5942028985507246	79.54589371980677	https://szekelyhon.ro/vilag/ujabb-halalos-aldozatokat-kovetelt-az-influenza https://szekelyhon.ro/aktualis/szakadekba-zuhant-az-auto-egy-ember-eletet-vesztette https://szekelyhon.ro/aktualis/egymasba-rohant-ket-auto-csikszereda-zsogodi-kijaratanal https://szekelyhon.ro/aktualis/aki-belemegy-megemlegeti https://szekelyhon.ro/aktualis/het-szemely-serult-meg-a-szaszregen-melletti-balesetben	doboz	default	
5	<div class=newsource>	3.6	1.0	1.0	https://szekelyhon.ro/aktualis/bkapunk-nyitva-szivunk-tarvar-n-flashmobbal-uzentek-a-csit-esek https://szekelyhon.ro/aktualis/halozatot-ujit-nehany-hargita-megyei-telepulesen-az-aramszolgaltato https://szekelyhon.ro/aktualis/hetfotol-igenyelheto-a-futestamogatas-gyergyoszentmikloson https://szekelyhon.ro/aktualis/bucsukat-ulnek-nagyboldogasszony-unnepen https://szekelyhon.ro/aktualis/haromkut-lakoi-alairasukkal-is-megerositik-jo-helyen-vannak	default	default	
3	<div class=subtitle dir=ltr>	3.0	0.0	3.0	https://szekelyhon.ro/aktualis/veget-ert-a-pulzus-n-ertekeltettuk-a-muveszekkel-az-alkotasaikat	default	default	
3	<div class=subtitle lang=hu-HU>	4.0	0.0	4.0	https://szekelyhon.ro/aktualis/elmenyek-a-templom-tornyaban	default	default	
