frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
7	<img alt=@alt class=@STYLE @STYLE @imageNUM src=@LINK>	0.0	0.0	0.0	https://vs.hu/kozelet/osszes/george-lakoff-orban-viktor-a-szigoru-apa-1105 https://vs.hu/kozelet/osszes/george-lakoff-orban-viktor-a-szigoru-apa-1105 https://vs.hu/kozelet/osszes/obama-donti-el-hogy-kitoloncoljak-e-biebert-0129 https://vs.hu/kozelet/osszes/george-lakoff-orban-viktor-a-szigoru-apa-1105 https://vs.hu/kozelet/osszes/george-lakoff-orban-viktor-a-szigoru-apa-1105	media_hivatkozas	src	
37	<img alt=@alt class=@STYLE height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://vs.hu/sport/osszes/ez-a-barca-nem-romlik-csak-ugy-el-0324 https://vs.hu/sport/osszes/ez-a-barca-nem-romlik-csak-ugy-el-0324 https://vs.hu/sport/osszes/a-chelsea-a-gyepbe-dongolte-az-arsenalt-0322 https://vs.hu/sport/osszes/ricciardo-tanccal-unnepelte-hogy-ujra-gyorsabb-vettelnel-0718 https://vs.hu/sport/osszes/kanada-megorult-a-hokis-lanyok-gyozelmetol-0220	media_hivatkozas	src	
1	<img alt=@alt class=gifs-gif unloaded hovering data-animated=@LINK data-still=@LINK id=@NUM src=@LINK style=@STYLE>	0.0	0.0	0.0	https://vs.hu/magazin/osszes/orszagos-influenzajarvany-van-0212	media_hivatkozas	src	
96	<img alt=@alt class=play height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://vs.hu/kozelet/osszes/kozel-harminc-halott-a-tajvani-gazrobbanasban-0801 https://vs.hu/kozelet/osszes/megkezdodott-az-idomeni-menekulttabor-kiuritese-0524 https://vs.hu/sport/osszes/kialudt-a-lang-veget-ert-a-rioi-paralimpia-0919 https://vs.hu/kozelet/osszes/vakon-vitorlazni-csak-batorsag-es-hozzaallas-kerdese-0702 https://vs.hu/kozelet/osszes/vereseggel-kezdett-a-magyar-valogatott-0907	media_hivatkozas	src	
1	<img alt=@alt height=@STYLE src=@LINK style=@STYLE width=@STYLE>	0.0	0.0	0.0	https://vs.hu/kozelet/osszes/marx-szobor-es-kozgaz-autonomia-ez-a-harc-lehet-a-vegso-0120	media_hivatkozas	src	
581	<img alt=@alt height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://vs.hu/kozelet/osszes/elkepzelhetonek-tartom-hogy-eltunnek-a-hagyomanyos-egyetemek-versus-1213 https://vs.hu/kozelet/osszes/nem-foglalkoztunk-vele-ezert-a-haboru-eljott-0914 https://vs.hu/sport/osszes/biologiai-rasszizmus-miatt-nem-versenyezhet-1015 https://vs.hu/kozelet/osszes/a-kuria-szerint-nincs-szegregacio-a-huszar-telepi-iskolaban-0422 https://vs.hu/kozelet/osszes/a-hallgato-hallgat-avagy-miben-kulonbozik-egy-svajci-egyetem-1113	media_hivatkozas	src	
32	<img alt=@alt src=@LINK style=@STYLE>	0.0	0.0	0.0	https://vs.hu/gazdasag/osszes/igy-nyeli-el-magyarorszag-az-eu-milliardjait-0310 https://vs.hu/kozelet/osszes/ket-grafikon-amelyet-latva-igazan-aggodhat-a-fidesz-0301 https://vs.hu/gazdasag/osszes/meg-csak-alom-az-olimpia-de-mar-milliardokat-koltottunk-ra-0215 https://vs.hu/gazdasag/osszes/igy-nyeli-el-magyarorszag-az-eu-milliardjait-0310 https://vs.hu/kozelet/osszes/amikor-egy-nap-alatt-ot-repulogepet-is-elteritettek-0331	media_hivatkozas	src	
1	<img alt=@alt src=@LINK width=@STYLE>	0.0	0.0	0.0	https://vs.hu/gazdasag/osszes/szeptembertol-dragul-a-benzin-0827	media_hivatkozas	src	
2	<img alt=@alt src=@LINK>	0.0	0.0	0.0	https://vs.hu/kozelet/osszes/doktor-igazsagos-vegzett-ashley-younggal-is-1106 https://vs.hu/kozelet/osszes/megvannak-a-gyoztesek-bill-gates-forradalmi-ovszerpalyazatan-1123	media_hivatkozas	src	
1	<img border=@NUM src=@LINK>	0.0	0.0	0.0	https://vs.hu/magazin/osszes/megdolt-az-ursetarekord-1228	media_hivatkozas	src	
