frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	hivatkozas	preserved_attribute
69	<div class=framed framed-right @STYLE style=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1021577_sorra-elapado-forrasok https://nepszava.hu/json/cikk.json?id=1012903_segithettek-a-fantomokat https://nepszava.hu/json/cikk.json?id=1153717_felelemkampany-utan-is-todul-szavazni-hodmezovasarhely-nepe https://nepszava.hu/json/cikk.json?id=1011938_a-muveszet-minden-penzt-meger https://nepszava.hu/json/cikk.json?id=1019638_csuszos-olajcsapok	null	default
2	<br class=_remove>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1065353_elhunyt-beckenbauer-a-legendas-focista-fia	null	default
11	<iframe allowfullscreen= src=@LINK style=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=3120095_pinter-sandortol-kell-engedelyt-kernie-a-tuzoltoknak-ha-kulfoldre-akarnak-menni-nyaralni https://nepszava.hu/json/cikk.json?id=3060080_oriasi-hiany-van-az-eredeti-meszaros-lorincekbol https://nepszava.hu/json/cikk.json?id=3064585_volt-polgaror-keselhetett-meg-ket-rendort-erdokertesen https://nepszava.hu/json/cikk.json?id=3065057_molnar-zsolt-vegyes-volt-az-energia-amit-beletettek-ebbe-a-kampanyba https://nepszava.hu/json/cikk.json?id=3086016_megdobbentek-a-veronai-aldozatok-csaladtagjai-de-van-magyarazat-a-nyomozas-lezarasara	beagyazott_tartalom	src
8	<iframe allowfullscreen=allowfullscreen frameborder=@NUM height=@STYLE scrolling=no src=@LINK style=@STYLE title=@LONG width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=3025159_tizezrevel-vesztik-olvasoikat-a-fideszes-mediaholdinghoz-kerult-megyei-lapok https://nepszava.hu/json/cikk.json?id=3021949_jogellenes-bilincseles-maradando-egeszsegkarosodas-ennyit-fizettek-ki-a-rendor-fokapitanysagok-karteritesre https://nepszava.hu/json/cikk.json?id=3100957_megszalltak-a-patikakat-a-magyarok https://nepszava.hu/json/cikk.json?id=3005895_senki-se-kivancsi-meszaros-lapjaira https://nepszava.hu/json/cikk.json?id=3044660_mar-az-eszt-tanarok-is-ketszer-annyit-keresnek-mint-a-magyarok	beagyazott_tartalom	src
338	<ul style=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1104861_piti-trukkel-verhetik-at-a-telefonos-csalok-figyeljen https://nepszava.hu/json/cikk.json?id=1093465_a-klubradio-is-megelegelte-aczel-megnyilvanulasait https://nepszava.hu/json/cikk.json?id=1077777_akar-igaza-van-a-tek-nek-akar-nincs-baj-van https://nepszava.hu/json/cikk.json?id=1085878_sztrajk-miskolcon https://nepszava.hu/json/cikk.json?id=1076005_sokasodo-belvarosi-botranyok	lista	default
49	<blockquote class=twitter-video data-lang=hu>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1129719_jarokelok-koze-hajtott-egy-autos-new-yorkban-video https://nepszava.hu/json/cikk.json?id=1100825_bosszubol-gyilkolt-a-18-eves-muncheni-lovoldozo https://nepszava.hu/json/cikk.json?id=1109396_birosaghoz-fordult-a-nepszabadsag-megjelentek-az-ujsagirok-cikkei https://nepszava.hu/json/cikk.json?id=1107975_bombariado-kiuritettek-ket-brusszeli-palyaudvart-video https://nepszava.hu/json/cikk.json?id=1118185_tragedia-emeleteket-zuhant-egy-lift-meghalt-egy-ember	null	default
116	<iframe allow=encrypted-media allowfullscreen=true allowtransparency=true frameborder=@NUM height=@STYLE scrolling=no src=@LINK style=@STYLE width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=3074990_hatarozatlan-idore-felfuggesztheti-a-dk-allami-tamogatasat-az-asz https://nepszava.hu/json/cikk.json?id=3098562_ujabb-gyogyszerszallitmany-erkezett-kinabol https://nepszava.hu/json/cikk.json?id=3076660_nem-mehetnek-videki-nyaraloikba-a-budapestiek-augusztus-kozepeig-lagzizni-sem-lehet https://nepszava.hu/json/cikk.json?id=3096173_orban-megkapta-az-influenza-elleni-vedooltast-video https://nepszava.hu/json/cikk.json?id=3052971_orban-odaporkolt-egyet-gemesi-gyorgynek-amikor-beugrott-godollore-kampanyolni	beagyazott_tartalom	src
2	<div id=stcpDiv style=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1032687_zoltai-gusztav-lazar-janos-tanacsadoja-lett	null	default
1	<a name=_GoBack style=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1127874_aggodik-a-kormany-mi-lesz-2020-utan	hivatkozas	default
39	<iframe allowfullscreen=true frameborder=@NUM src=@LINK style=@STYLE title=@LONG>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=3029123_felmondott-az-osszes-betegszallito-a-hatvani-korhazban https://nepszava.hu/json/cikk.json?id=3081719_beomlott-az-uttest-debrecenben-ket-savot-foglal-el-a-godor-video https://nepszava.hu/json/cikk.json?id=3097338_teljesen-leallt-az-elet-ebben-a-vas-megyei-faluban-a-koronavirus-miatt https://nepszava.hu/json/cikk.json?id=3045542_rohado-peneszes-szendvicsekre-panaszkodnak-a-maccabi-jatekokat-biztosito-rendorok https://nepszava.hu/json/cikk.json?id=3035468_nem-mukodik-a-lift-a-honvedkorhaz-egyik-epuleteben	beagyazott_tartalom	src
47	<hr>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1007836_megkapja-iran-az-olajpenzt https://nepszava.hu/json/cikk.json?id=1024759_eleg-volt-a-fovaros-leradirozasabol https://nepszava.hu/json/cikk.json?id=1140636_valyi-peter-halala https://nepszava.hu/json/cikk.json?id=1024766_szarszo-ujratoltve https://nepszava.hu/json/cikk.json?id=1024891_vakon-szavaztak-a-paksi-hitelrol	null	default
153	<iframe height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=3051750_kisbusz-es-auto-utkozott-az-m3-ason-egy-ember-eletveszelyesen-megserult https://nepszava.hu/json/cikk.json?id=3016244_meghalt-a-hodmezovasarhelynel-fanak-hajto-autos https://nepszava.hu/json/cikk.json?id=3121271_kigyulladt-egy-busz-az-m7-esen-erdnel https://nepszava.hu/json/cikk.json?id=3038027_halalra-gazolt-egy-fiatal-not-egy-traktor-ladanybenen https://nepszava.hu/json/cikk.json?id=3020552_halalra-gazoltak-egy-kerekparost-ocsanal	beagyazott_tartalom	src
1	<iframe allowfullscreen=true frameborder=@NUM src=@LINK style=@STYLE title=Két gyerek égett meg Tuzséron>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=3033244_szemetegetesbol-lett-majdnem-halalos-baleset-ket-kisgyerek-kerult-korhazba-egy-felrobbant-flakon-miatt	beagyazott_tartalom	src
1	<div class=banner-container clear-banner-row clearfix>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1130783_afacsalasok-a-benzinkutakon-reagalt-a-mol	null	default
2	<div class=banner-wrapper clearfix data-position=@articleNUM>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1130783_afacsalasok-a-benzinkutakon-reagalt-a-mol https://nepszava.hu/json/cikk.json?id=1142635_edes-luxus-matolcsynal-elszalltak-a-fizetesek-az-mnb-ben	null	default
1	<div class=@NUM goa-embedded data-adsv-name=@roadblockNUM id=@NUM style=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1130783_afacsalasok-a-benzinkutakon-reagalt-a-mol	null	default
